Date,Close,High,Low,Open,Volume
18-11-2024,1262.557495,1267.537605,1246.123132,1248.613187,12612633
19-11-2024,1255.734741,1267.836433,1238.951795,1262.557468,13620611
21-11-2024,1236.710693,1276.402144,1230.236551,1255.734689,14183746
22-11-2024,1218.134888,1239.0015,1212.407761,1236.710722,19433843
25-11-2024,1260.366211,1263.802438,1217.586995,1224.50942,20471957
26-11-2024,1281.880249,1299.260783,1277.348301,1284.868315,28923341
27-11-2024,1290.545654,1292.687126,1279.091401,1289.798638,9247557
28-11-2024,1288.055542,1298.6632,1280.884233,1288.354397,9572746
29-11-2024,1265.744751,1291.442045,1264.001713,1284.818474,15027412
02-12-2024,1287.05957,1294.330579,1270.177046,1274.908151,13202307
03-12-2024,1303.942261,1306.133461,1271.969978,1282.876371,11024152
04-12-2024,1318.035889,1321.521965,1301.800682,1311.760902,16869482
05-12-2024,1303.74292,1323.11562,1298.862509,1320.725143,19608540
06-12-2024,1316.790894,1324.65937,1300.95412,1309.121451,16858723
09-12-2024,1306.332642,1318.633488,1304.788759,1318.633488,9037514
10-12-2024,1289.997925,1309.768937,1287.956031,1297.816673,14650002
11-12-2024,1279.73877,1289.748839,1275.107243,1284.12129,16043729
12-12-2024,1273.115234,1284.868342,1270.973884,1279.888232,11724373
13-12-2024,1257.876221,1273.115285,1255.585321,1264.947953,20906813
16-12-2024,1267.786621,1270.127249,1234.668888,1254.987762,28630222
17-12-2024,1263.254761,1275.904192,1261.511722,1269.92806,9486781
18-12-2024,1240.346191,1258.872175,1237.856137,1256.033537,17462791
19-12-2024,1248.264526,1254.937825,1235.714674,1235.714674,12670179
20-12-2024,1225.555176,1239.947766,1224.110993,1234.071212,14244653
23-12-2024,1200.505371,1234.569275,1196.720439,1219.130934,20312896
24-12-2024,1217.437744,1222.318155,1208.373847,1210.166735,10052824
26-12-2024,1217.885864,1228.64295,1216.142826,1217.437703,6734917
27-12-2024,1211.710571,1222.816119,1209.419672,1219.379892,10016178
30-12-2024,1216.192749,1223.015476,1212.158811,1213.453688,7000397
31-12-2024,1205.883789,1218.334064,1203.294156,1211.561187,8818766
01-01-2025,1210.614868,1214.250373,1201.351937,1203.194553,6405475
02-01-2025,1216.391846,1221.421805,1206.780209,1210.017281,5892590
03-01-2025,1236.860107,1239.499468,1215.14678,1216.391808,15486276
06-01-2025,1246.172974,1257.029638,1230.585205,1238.951814,15521102
07-01-2025,1213.154785,1256.979753,1210.166719,1248.961727,14816766
08-01-2025,1235.913818,1239.549323,1216.391812,1217.138829,10070505
09-01-2025,1260.46582,1265.993791,1240.395953,1244.031458,19346579
10-01-2025,1249.758545,1264.698874,1243.085246,1261.959814,12794704
13-01-2025,1236.959717,1251.750619,1231.083163,1248.862131,8120332
14-01-2025,1234.917847,1240.29639,1221.521399,1225.107054,13764861
15-01-2025,1233.822266,1248.364163,1222.368013,1239.150959,13095266
16-01-2025,1247.218628,1251.999582,1236.909825,1239.997469,9578856
